"Meal, Inexpensive Restaurant",200.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course","1,500.00 ₹"
McMeal at McDonalds (or Equivalent Combo Meal),400.00 ₹
Domestic Beer (0.5 liter draught),157.50 ₹
Imported Beer (0.33 liter bottle),205.00 ₹
Cappuccino (regular),117.50 ₹
Coke/Pepsi (0.33 liter bottle),42.50 ₹
Water (0.33 liter bottle),17.50 ₹
"Milk (regular), (1 liter)",56.93 ₹
Loaf of Fresh White Bread (500g),36.11 ₹
"Rice (white), (1kg)",47.78 ₹
Eggs (regular) (12),71.40 ₹
Local Cheese (1kg),352.50 ₹
Chicken Fillets (1kg),245.00 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),340.00 ₹
Apples (1kg),129.29 ₹
Banana (1kg),53.64 ₹
Oranges (1kg),66.67 ₹
Tomato (1kg),45.71 ₹
Potato (1kg),28.71 ₹
Onion (1kg),35.00 ₹
Lettuce (1 head),42.00 ₹
Water (1.5 liter bottle),30.00 ₹
Bottle of Wine (Mid-Range),700.00 ₹
Domestic Beer (0.5 liter bottle),154.17 ₹
Imported Beer (0.33 liter bottle),192.00 ₹
Cigarettes 20 Pack (Marlboro),335.00 ₹
One-way Ticket (Local Transport),25.00 ₹
Monthly Pass (Regular Price),400.00 ₹
Taxi Start (Normal Tariff),50.00 ₹
Taxi 1km (Normal Tariff),18.00 ₹
Taxi 1hour Waiting (Normal Tariff),150.00 ₹
Gasoline (1 liter),99.64 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"700,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,573,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","5,664.06 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),1.00 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",766.67 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,483.33 ₹"
Tennis Court Rent (1 Hour on Weekend),"1,166.67 ₹"
"Cinema, International Release, 1 Seat",350.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","4,066.67 ₹"
"International Primary School, Yearly for 1 Child","87,600.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,428.57 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,800.00 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"5,583.33 ₹"
1 Pair of Men Leather Business Shoes,"4,166.67 ₹"
Apartment (1 bedroom) in City Centre,"12,083.33 ₹"
Apartment (1 bedroom) Outside of Centre,"7,500.00 ₹"
Apartment (3 bedrooms) in City Centre,"27,166.67 ₹"
Apartment (3 bedrooms) Outside of Centre,"16,500.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"213,836.84 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"50,097.24 ₹"
Average Monthly Net Salary (After Tax),"33,333.33 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.95
