"Meal, Inexpensive Restaurant",450.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course","2,250.00 ₹"
McMeal at McDonalds (or Equivalent Combo Meal),325.00 ₹
Domestic Beer (0.5 liter draught),130.00 ₹
Imported Beer (0.33 liter bottle),275.00 ₹
Cappuccino (regular),200.00 ₹
Coke/Pepsi (0.33 liter bottle),42.40 ₹
Water (0.33 liter bottle),15.00 ₹
"Milk (regular), (1 liter)",57.82 ₹
Loaf of Fresh White Bread (500g),46.43 ₹
"Rice (white), (1kg)",70.00 ₹
Eggs (regular) (12),73.50 ₹
Local Cheese (1kg),330.00 ₹
Chicken Fillets (1kg),263.33 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),446.67 ₹
Apples (1kg),92.00 ₹
Banana (1kg),60.00 ₹
Oranges (1kg),76.67 ₹
Tomato (1kg),44.29 ₹
Potato (1kg),30.00 ₹
Onion (1kg),36.25 ₹
Lettuce (1 head),56.67 ₹
Water (1.5 liter bottle),27.50 ₹
Bottle of Wine (Mid-Range),500.00 ₹
Domestic Beer (0.5 liter bottle),184.96 ₹
Imported Beer (0.33 liter bottle),360.00 ₹
Cigarettes 20 Pack (Marlboro),315.00 ₹
One-way Ticket (Local Transport),50.00 ₹
Monthly Pass (Regular Price),"1,200.00 ₹"
Taxi Start (Normal Tariff),100.00 ₹
Taxi 1km (Normal Tariff),20.00 ₹
Taxi 1hour Waiting (Normal Tariff),150.00 ₹
Gasoline (1 liter),101.27 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,050,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,700,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","6,066.67 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),?
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",933.33 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,266.67 ₹"
Tennis Court Rent (1 Hour on Weekend),"2,000.00 ₹"
"Cinema, International Release, 1 Seat",300.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","4,000.00 ₹"
"International Primary School, Yearly for 1 Child","93,333.33 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"1,833.33 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,333.33 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"4,666.67 ₹"
1 Pair of Men Leather Business Shoes,"2,300.00 ₹"
Apartment (1 bedroom) in City Centre,"10,000.00 ₹"
Apartment (1 bedroom) Outside of Centre,"7,000.00 ₹"
Apartment (3 bedrooms) in City Centre,"17,333.33 ₹"
Apartment (3 bedrooms) Outside of Centre,"13,500.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"52,801.00 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"27,939.85 ₹"
Average Monthly Net Salary (After Tax),"40,000.00 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.00
