"Meal, Inexpensive Restaurant",150.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course",600.00 ₹
McMeal at McDonalds (or Equivalent Combo Meal),400.00 ₹
Domestic Beer (0.5 liter draught),110.00 ₹
Imported Beer (0.33 liter bottle),300.00 ₹
Cappuccino (regular),120.00 ₹
Coke/Pepsi (0.33 liter bottle),31.67 ₹
Water (0.33 liter bottle),13.75 ₹
"Milk (regular), (1 liter)",45.25 ₹
Loaf of Fresh White Bread (500g),41.68 ₹
"Rice (white), (1kg)",50.00 ₹
Eggs (regular) (12),63.75 ₹
Local Cheese (1kg),"1,080.00 ₹"
Chicken Fillets (1kg),250.00 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),633.33 ₹
Apples (1kg),193.33 ₹
Banana (1kg),73.17 ₹
Oranges (1kg),121.67 ₹
Tomato (1kg),47.78 ₹
Potato (1kg),40.00 ₹
Onion (1kg),52.01 ₹
Lettuce (1 head),33.33 ₹
Water (1.5 liter bottle),32.86 ₹
Bottle of Wine (Mid-Range),300.00 ₹
Domestic Beer (0.5 liter bottle),133.33 ₹
Imported Beer (0.33 liter bottle),300.00 ₹
Cigarettes 20 Pack (Marlboro),400.00 ₹
One-way Ticket (Local Transport),25.00 ₹
Monthly Pass (Regular Price),800.00 ₹
Taxi Start (Normal Tariff),100.00 ₹
Taxi 1km (Normal Tariff),13.50 ₹
Taxi 1hour Waiting (Normal Tariff),102.00 ₹
Gasoline (1 liter),103.88 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,250,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"2,050,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","3,262.44 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.90 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",799.75 ₹
"Fitness Club, Monthly Fee for 1 Adult",366.67 ₹
Tennis Court Rent (1 Hour on Weekend),416.67 ₹
"Cinema, International Release, 1 Seat",200.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","3,277.78 ₹"
"International Primary School, Yearly for 1 Child","61,666.67 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,500.00 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,000.00 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,833.33 ₹"
1 Pair of Men Leather Business Shoes,"2,190.00 ₹"
Apartment (1 bedroom) in City Centre,"7,166.67 ₹"
Apartment (1 bedroom) Outside of Centre,"4,250.00 ₹"
Apartment (3 bedrooms) in City Centre,"17,500.00 ₹"
Apartment (3 bedrooms) Outside of Centre,"11,250.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,?
Price per Square Meter to Buy Apartment Outside of Centre,?
Average Monthly Net Salary (After Tax),"37,333.33 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.50
