"Meal, Inexpensive Restaurant",120.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course",700.00 ₹
McMeal at McDonalds (or Equivalent Combo Meal),350.00 ₹
Domestic Beer (0.5 liter draught),152.50 ₹
Imported Beer (0.33 liter bottle),250.00 ₹
Cappuccino (regular),125.00 ₹
Coke/Pepsi (0.33 liter bottle),23.75 ₹
Water (0.33 liter bottle),12.50 ₹
"Milk (regular), (1 liter)",51.20 ₹
Loaf of Fresh White Bread (500g),36.79 ₹
"Rice (white), (1kg)",54.38 ₹
Eggs (regular) (12),74.00 ₹
Local Cheese (1kg),450.00 ₹
Chicken Fillets (1kg),283.33 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),600.00 ₹
Apples (1kg),135.00 ₹
Banana (1kg),46.00 ₹
Oranges (1kg),73.33 ₹
Tomato (1kg),50.00 ₹
Potato (1kg),25.00 ₹
Onion (1kg),26.67 ₹
Lettuce (1 head),45.00 ₹
Water (1.5 liter bottle),27.86 ₹
Bottle of Wine (Mid-Range),"1,000.00 ₹"
Domestic Beer (0.5 liter bottle),184.77 ₹
Imported Beer (0.33 liter bottle),255.00 ₹
Cigarettes 20 Pack (Marlboro),340.00 ₹
One-way Ticket (Local Transport),25.00 ₹
Monthly Pass (Regular Price),250.00 ₹
Taxi Start (Normal Tariff),35.00 ₹
Taxi 1km (Normal Tariff),20.00 ₹
Taxi 1hour Waiting (Normal Tariff),50.00 ₹
Gasoline (1 liter),103.51 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"2,000,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),?
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","2,500.00 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.75 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",639.80 ₹
"Fitness Club, Monthly Fee for 1 Adult","2,425.00 ₹"
Tennis Court Rent (1 Hour on Weekend),?
"Cinema, International Release, 1 Seat",200.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","3,333.33 ₹"
"International Primary School, Yearly for 1 Child","106,666.67 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"2,066.67 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,000.00 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"2,566.67 ₹"
1 Pair of Men Leather Business Shoes,"1,966.67 ₹"
Apartment (1 bedroom) in City Centre,"9,500.00 ₹"
Apartment (1 bedroom) Outside of Centre,"7,625.00 ₹"
Apartment (3 bedrooms) in City Centre,"21,166.67 ₹"
Apartment (3 bedrooms) Outside of Centre,"12,750.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"64,583.46 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"37,673.69 ₹"
Average Monthly Net Salary (After Tax),"43,333.33 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.62
