"Meal, Inexpensive Restaurant",135.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course",600.00 ₹
McMeal at McDonalds (or Equivalent Combo Meal),225.00 ₹
Domestic Beer (0.5 liter draught),120.00 ₹
Imported Beer (0.33 liter bottle),255.00 ₹
Cappuccino (regular),117.50 ₹
Coke/Pepsi (0.33 liter bottle),34.17 ₹
Water (0.33 liter bottle),14.00 ₹
"Milk (regular), (1 liter)",43.07 ₹
Loaf of Fresh White Bread (500g),37.18 ₹
"Rice (white), (1kg)",48.62 ₹
Eggs (regular) (12),74.15 ₹
Local Cheese (1kg),453.00 ₹
Chicken Fillets (1kg),280.00 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),350.00 ₹
Apples (1kg),156.00 ₹
Banana (1kg),63.50 ₹
Oranges (1kg),84.56 ₹
Tomato (1kg),29.80 ₹
Potato (1kg),26.80 ₹
Onion (1kg),35.90 ₹
Lettuce (1 head),80.00 ₹
Water (1.5 liter bottle),27.27 ₹
Bottle of Wine (Mid-Range),250.00 ₹
Domestic Beer (0.5 liter bottle),134.17 ₹
Imported Beer (0.33 liter bottle),280.00 ₹
Cigarettes 20 Pack (Marlboro),270.00 ₹
One-way Ticket (Local Transport),13.50 ₹
Monthly Pass (Regular Price),500.00 ₹
Taxi Start (Normal Tariff),37.50 ₹
Taxi 1km (Normal Tariff),30.00 ₹
Taxi 1hour Waiting (Normal Tariff),120.00 ₹
Gasoline (1 liter),103.23 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,000,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,425,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","2,170.66 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),1.12 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",765.40 ₹
"Fitness Club, Monthly Fee for 1 Adult","2,075.00 ₹"
Tennis Court Rent (1 Hour on Weekend),493.58 ₹
"Cinema, International Release, 1 Seat",200.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","6,750.00 ₹"
"International Primary School, Yearly for 1 Child","58,333.33 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"1,518.18 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","1,916.67 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"2,975.00 ₹"
1 Pair of Men Leather Business Shoes,"2,300.00 ₹"
Apartment (1 bedroom) in City Centre,"10,600.00 ₹"
Apartment (1 bedroom) Outside of Centre,"8,600.00 ₹"
Apartment (3 bedrooms) in City Centre,"25,833.33 ₹"
Apartment (3 bedrooms) Outside of Centre,"18,000.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"55,972.33 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"40,522.06 ₹"
Average Monthly Net Salary (After Tax),"27,500.00 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.88
