"Meal, Inexpensive Restaurant",425.00 ₹
"Meal for 2 People, Mid-range Restaurant, Three-course","1,100.00 ₹"
McMeal at McDonalds (or Equivalent Combo Meal),450.00 ₹
Domestic Beer (0.5 liter draught),225.00 ₹
Imported Beer (0.33 liter bottle),?
Cappuccino (regular),100.00 ₹
Coke/Pepsi (0.33 liter bottle),56.67 ₹
Water (0.33 liter bottle),30.00 ₹
"Milk (regular), (1 liter)",62.00 ₹
Loaf of Fresh White Bread (500g),41.79 ₹
"Rice (white), (1kg)",85.00 ₹
Eggs (regular) (12),79.00 ₹
Local Cheese (1kg),384.25 ₹
Chicken Fillets (1kg),380.00 ₹
Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),"1,100.00 ₹"
Apples (1kg),143.33 ₹
Banana (1kg),65.00 ₹
Oranges (1kg),97.50 ₹
Tomato (1kg),46.67 ₹
Potato (1kg),21.67 ₹
Onion (1kg),32.50 ₹
Lettuce (1 head),?
Water (1.5 liter bottle),30.00 ₹
Bottle of Wine (Mid-Range),300.00 ₹
Domestic Beer (0.5 liter bottle),140.00 ₹
Imported Beer (0.33 liter bottle),?
Cigarettes 20 Pack (Marlboro),415.00 ₹
One-way Ticket (Local Transport),20.00 ₹
Monthly Pass (Regular Price),800.00 ₹
Taxi Start (Normal Tariff),65.00 ₹
Taxi 1km (Normal Tariff),17.50 ₹
Taxi 1hour Waiting (Normal Tariff),70.00 ₹
Gasoline (1 liter),107.50 ₹
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"900,000.00 ₹"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,200,000.00 ₹"
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","4,333.33 ₹"
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.55 ₹
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",674.75 ₹
"Fitness Club, Monthly Fee for 1 Adult","1,666.67 ₹"
Tennis Court Rent (1 Hour on Weekend),450.00 ₹
"Cinema, International Release, 1 Seat",250.00 ₹
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","3,000.00 ₹"
"International Primary School, Yearly for 1 Child","274,000.00 ₹"
1 Pair of Jeans (Levis 501 Or Similar),"3,374.75 ₹"
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","3,749.75 ₹"
1 Pair of Nike Running Shoes (Mid-Range),"3,999.75 ₹"
1 Pair of Men Leather Business Shoes,"3,124.75 ₹"
Apartment (1 bedroom) in City Centre,"8,000.00 ₹"
Apartment (1 bedroom) Outside of Centre,"6,166.67 ₹"
Apartment (3 bedrooms) in City Centre,"20,000.00 ₹"
Apartment (3 bedrooms) Outside of Centre,"13,000.00 ₹"
Price per Square Meter to Buy Apartment in City Centre,"409,722.31 ₹"
Price per Square Meter to Buy Apartment Outside of Centre,"28,842.61 ₹"
Average Monthly Net Salary (After Tax),"19,000.00 ₹"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.62
